noticia,classificacao
Café previne o coronavírus,FALSE
Beber água de 15 em 15 minutos cura o coronavírus,FALSE
Chá de limão com bicarbonato quente cura coronavírus,FALSE
Café previne o coronavírus,FALSE
Beber água de 15 em 15 minutos cura o coronavírus,FALSE
Café não previne o coronavírus,TRUE
Beber água de 15 em 15 minutos cura o coronavírus,FALSE
Chá de limão com bicarbonato quente cura coronavírus,FALSE
Café previne o coronavírus,FALSE
"O Brasil teve 968 novas mortes registradas em razão do novo coronavírus em 24 horas, mostra levantamento feito pelo consórcio de veículos de imprensa junto às secretarias estaduais de Saúde. Com isso, são 50.058 óbitos pela Covid-19 até este sábado (20) no país. Veja os dados, consolidados às 20h:
50.058 mortes; eram 49.094 até as 20h de sexta (19), uma diferença de 968 óbitos
1.070.139 casos confirmados; eram 1.039.167 até a noite de sexta, ou seja, houve 30.972 novos casos",TRUE
