noticia,classificacao
Café previne o coronavírus,1
Beber água de 15 em 15 minutos cura o coronavírus,1
Chá de limão com bicarbonato quente cura coronavírus,1
Ministro da Saúde pede para compartilhar áudio com informações do coronavírus,1
"Aplicativo Coronavírus-SUS, do Governo do Brasil, é inseguro",1
Café não previne o coronavírus,0
Beber água de 15 em 15 minutos cura o coronavírus,1
China anuncia vacina para coronavírus,1
Todos os países adotam as mesmas medidas para enfrentar o coronavírus,1
"O Brasil teve 968 novas mortes registradas em razão do novo coronavírus em 24 horas, mostra levantamento feito pelo consórcio de veículos de imprensa junto às secretarias estaduais de Saúde. Com isso, são 50.058 óbitos pela Covid-19 até este sábado (20) no país. Veja os dados, consolidados às 20h:
50.058 mortes; eram 49.094 até as 20h de sexta (19), uma diferença de 968 óbitos
1.070.139 casos confirmados; eram 1.039.167 até a noite de sexta, ou seja, houve 30.972 novos casos",0
Pesquisa publicada por cientistas chineses diz que coronavírus tornará a maioria dos pacientes do sexo masculino infértil,1
Colocar luvas para manusear dinheiro e evitar coronavírus,0
Tomar ou bebidas quentes para matar o coronavírus,1
Coronavírus morre a 26º C,1
Água ou chá quente mata o coronavírus,1
Código genético do coronavírus é diferente nos 2 brasileiros infectados,1
"Vitamina C cura coronavírus, que veio dos animais, e água com limão que cura câncer",1
"O vírus não se propaga no ar, a não ser por meio de contato próximo com o doente. Margareth explica que o vírus pode, sim, ser carreado por gotículas ou em aerossol, provocado pela tosse, inclusive, em procedimentos médicos. Daí a razão de tantos profissionais de saúde terem sido contaminados, segundo ela.",0
Água morna ou salgada não evita que o vírus atinja os pulmões. Margareth esclarece que o comprometimento dos pulmões vai depender de características fisiológicas do indivíduo infectado pelo vírus.,0
"Não é indicado que se produza álcool em gel em casa, de acordo com a pesquisadora. O material de limpeza mais indicado na eliminação do coronavírus, segundo Margareth, é qualquer detergente, que se usa para lavar a louça, ou água sanitária. “Pode ser feito um material de limpeza caseiro, diluindo água sanitária na proporção de 1 litro de água sanitária para 3 litros de água. Isso serve também para limpar superfícies lisas, sobretudo as de plástico, onde o vírus pode permanecer mais tempo. A melhor maneira e padrão ouro de limpeza é, ainda, água e sabão. O álcool em gel sozinho não pode ser utilizado todo o tempo. As mãos precisam ser realmente lavadas”, destaca a pesquisadora.",0
Álcool em gel pode ser feito em casa com apenas dois ingredientes,1
Gargarejar com água morna ou salgada evita que o vírus vá para os pulmões,1
"Pratos frios ou quentes não interferem na resistência do vírus, de acordo com a pesquisadora.",0
Água fervida com alho serve como tratamento para o coronavírus,1
que máscaras são inócuas e podem causar infecção na garganta,1
"Circula nas redes sociais que o uso das máscaras caseiras é inócuo para conter a propagação do novo coronavírus, porque ele passa pelo tecido. A mensagem diz ainda que a máscara aumenta o risco de a pessoa desenvolver síndromes respiratórias e infecções na garganta.",1
que carro pegou fogo e ele se alastrou em garagem em Belém após motorista passar álcool em gel na chave e ligar o veículo,1
que enxofre destrua o coronavírus,1
Circula nas redes sociais um vídeo em que uma mulher afirma que o enxofre é a cura para o coronavírus.,1
"O virologista Rômulo Néris, doutorando pela UFRJ, afirma que o enxofre não neutraliza o Sars-CoV-2, responsável pela pandemia atual, nem outros coronavírus.",0
"Diversos compostos que contêm enxofre são conhecidos por inibir a replicação de vírus. Mas nenhum desses compostos foi descrito como eficiente contra nenhum coronavírus, incluindo o Sars-CoV-2.",0
Chá de artemísia é considerado a cura para a Covid-19,1
"Princípio ativo extraído de planta medicinal tem efeito antimalárico, mas não há comprovação científica de eficácia contra o coronavírus. Mesmo que substância fosse eficaz, quantidade numa bebida é insuficiente para tratar qualquer doença.",0
Ministro interino da Saúde ordenou que não conste mais 'suspeita de Covid-19' nos atestados de óbito,1
"Imagem nas redes sociais atribui declaração a general Eduardo Pazuello. Pasta diz que mensagem é fake. Nota técnica orienta a notificar como suspeita de Covid-19 se ainda não houver exame positivo. Além disso, casos com teste ainda não concluído constam como 'óbitos em investigação' nos dados divulgados, segundo o órgão.",0
que novo coronavírus não resiste ao calor e à temperatura de 26ºC ou 27ºC,1
"O Ministério da Saúde também classifica a mensagem como ""falsa"" e reitera que não é possível afirmar que o vírus morre a uma temperatura de 26ºC ou 27ºC ""uma vez que no corpo humano o vírus tolera uma temperatura de pelo menos 36ºC""",0
"Brasil tem mais de 1 milhão de casos confirmados de coronavírus, aponta consórcio de veículos de imprensa; veja a situação por região",0
"Norte apresenta tendência decrescente, mas Centro-Oeste está com curva em ascensão. Vírus está se espalhando no interior do país e dá sinais de 'platô' em metrópoles do Sudeste. Especialistas avaliam que é cedo para comemorar. Levantamento de consórcio de veículos de imprensa aponta que país tem 48.427 mortes.",0
"O Brasil chegou a 1 milhão de casos de coronavírus na tarde desta sexta-feira (19), mostra um boletim extra do levantamento feito pelo consórcio de veículos de imprensa a partir de dados das secretarias estaduais de Saúde.",0
"Embora elevados, os números de casos e de mortes estão subnotificados. O Brasil ainda faz, como apontou um especialista ouvido pelo G1, ""brutalmente"" menos testes para detectar a doença do que deveria: são tão poucos RT- PCR (exames laboratoriais ideais para diagnosticar a Covid-19), que o número de casos confirmados muitas vezes é secundário para cientistas que analisam a evolução da pandemia.",0
"O Brasil está testando brutalmente menos do que deveria. Na melhor das hipóteses, 20 vezes menos do que é considerado adequado"", afirmou ao G1 Daniel Lahr, professor do Instituto de Biociências da Universidade de São Paulo (USP).",0
